Alabama,Longleaf Pine
Alaska,Sitka Spruce
Arizona,Blue Palo Verde
Arkansas,Loblolly Pine
American Samoa,Pandanus
California,Coast Redwood & Giant Sequoia
Colorado,Colorado Blue Spruce
Connecticut,"White Oakÿ""See Also:ÿCharter"
District of Columbia,Scarlet Oak
Delaware,American Holly
Florida,Sabal Palm
Georgia,Southern Live Oak
Guam,Ipil
Hawaii,Candlenut Tree
Idaho,Western White Pine
Illinois,White Oak
Indiana,Tulip Tree
Iowa,Bur Oak
Kansas,Eastern Cottonwood
Kentucky,Tulip-tree
Louisiana,Bald Cypress
Maine,Eastern White Pine
Maryland,White Oak
Massachusetts,American Elm
Michigan,Eastern White Pine
Minnesota,Red Pine
Mississippi,Southern Magnolia
Missouri,Flowering Dogwood
Montana,Ponderosa Pine
Nebraska,Eastern Cottonwood
Nevada,Single-leaf Pinyon & Bristlecone pine
New Hampshire,American White Birch
New Jersey,Northern Red Oak
New Mexico,Pi¤on Pine
New York,Sugar Maple
North Carolina,Longleaf Pine
North Dakota,American Elm
Northern Marianas,Flame Tree
Ohio,Ohio Buckeye
Oklahoma,Eastern Redbud
Oregon,Douglas-fir
Pennsylvania,Eastern Hemlock
Puerto Rico,Silk-cotton Tree
Rhode Island,Red Maple
South Carolina,Sabal Palm
South Dakota,Black Hills Spruce
Tennessee,Tulip-tree
Texas,Pecan
US Virgin Islands,Yellow Elder
Utah,Quaking Aspen
Vermont,Sugar Maple
Virginia,Flowering dogwood
Washington,Western Hemlock
West Virginia,Sugar Maple
Wisconsin,Sugar Maple
Wyoming,Plains Cottonwood
